procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  1  48400   9488    560  24680   20   23    84    48  708  919 24 10 65  1
 1  0  48320   9480    560  24856   28    0    28     0 2696 5618 39 23 39  0
 4  0  48296   9416    560  24992    0    0     0     0 2932 6002 41 20 39  0
 6  1  49384   9544    552  24236  148 1124   164  1124 5090 4297 48 28 12 11
 3  0  49680   9760    560  24028 1388 1288  1452  1348 3797 5838 51 24 24  1
 5  0  50240   9628    552  23768 1160 1292  1160  1292 3227 4888 41 26 29  4
 6  0  50220   9344    552  23880  108    0   108     0 2777 4845 51 27 22  0
 4  2  50928   9400    552  23800  544 1040   544  1040 3016 4406 45 30 17  8
 7  1  50544   8760    824  24076  240    0   660     0 2479 3752 52 26 22  1
 4  0  51952   8292    800  24848 2632 3172  4292  4816 6383 2694 59 34  3  5
 5  1  52248   7024    792  25200 1532 1556  2212  1720 4035 4359 72 23  5  0
10  2  52548   8496    756  22768   40  380   180   756 8278 2029 74 26  0  1
 2  1  51940   8152    752  22604  652   52   700    52 3223 2467 77 20  2  1
 8  0  52196   9300    728  22036  236  628   428   628 6623 2175 77 23  1  0
 4  0  52052   9252    736  22196  296    0   304    28 2832 2484 81 19  0  0
 6  0  51676   8836    736  22420  300    0   380     0 3156 3919 79 18  3  0
 5  0  51536   8956    736  22588   64    0    64     0 3339 7164 53 23 24  0
 1  0  51408  11032    736  22752    4    0     4     0 3214 6484 51 21 27  0
 1  0  51404  12076    736  22908   32    0    32     0 3547 7626 47 23 29  0
 5  0  51344  11488    920  23240   96    0   444    48 2733 5161 46 27 27  0
 7  0  51320  11172    920  23396    0    0     0     0 3257 6903 47 26 28  0
 3  0  51288  10732    920  23544   36    0    36     0 3169 6205 47 26 27  0
 1  0  51280  11056    920  23720    0    0     0     0 3047 6762 45 21 34  0
 1  0  51272  11316    920  23904    0    0     0     0 3479 7416 49 22 29  0
 1  0  51036  11020    928  24040   56    0    56    12 3045 6032 41 25 34  0
 1  0  50932  10772    928  24224   80    0    80     0 3508 7238 48 23 29  0
 1  0  50908  10364    928  24392    0    0     0     0 3249 6635 50 24 25  0
 6  0  50420  10200    928  24564  220    0   220     0 3311 6400 57 20 23  0
 6  1  50484   8468   1336  25556   72  116  1664   120 3989 6882 47 24 27  3
 3  0  50528   9388   1200  24120   96  124    96   200 4455 5552 50 20 17 13
 0  0  50396   8976   1200  24340   80    0    80     0 3244 6466 45 24 30  0
 2  0  50344   8976   1200  24500    4    0     4     0 3264 6691 48 26 26  0
 4  0  50308   9712   1200  24692    0    0     0     0 3466 7831 54 21 26  0
 5  0  50072   9856   1200  24860  108    0   108     0 3120 6414 47 26 27  0
 5  0  50068   9444   1208  25076    0    0    80    12 2981 5950 42 24 34  0
 5  1  50008   8460   1208  25328   36    4   144     4 3135 5990 46 25 27  2
 3  0  51172   9096   1196  25176  792 1404   848  1404 4919 7182 50 25 20  6
 4  0  51168  10008   1196  25372    0    0     0     0 3198 7173 48 24 29  0
 4  0  51160  10056   1196  25540    4    0     4     0 3313 6723 47 25 27  0
 4  0  51120   9328   1204  25688   40    0    40    32 2923 6055 45 27 28  0
 2  0  51084   9140   1204  25844   52    0    52     0 3105 6161 45 29 25  0
 6  0  51028   9116   1204  26032   52    0    52     0 3283 7461 49 22 29  0
 1  0  51008   9216   1204  26204    0    0     0     0 3367 7422 41 24 34  0
 5  0  50988   9112   1204  26376    8    0     8     0 3402 7377 43 19 38  0
 4  0  50940   8704   1212  26548   36    0    36    12 3286 6981 45 24 32  0
 1  0  51784   9104   1192  26448   44  888    68   888 4070 6108 40 26 31  4
 1  0  51724   9040   1192  26708  360    0   380  2532 3427 7396 47 26 27  0
 4  1  51424   8512   1184  26732  592  360   668  3756 4767 6218 45 25 27  3
 4  0  51772   9288   1176  26392  592  652   596   652 3887 6045 46 28 21  4
 1  0  51736   9172   1184  26580   40    0    40    52 3325 7476 49 26 25  0
 1  0  51700   9204   1184  26728    0    0     0     0 2983 6190 49 24 27  0
 3  0  51696   9116   1184  26896   32    0    32     0 3258 7001 44 22 34  0
 1  0  51628   8992   1184  27044    0    0     0     0 3175 6358 41 20 39  0
 1  0  51532   8776   1184  27156   64    0    64     0 2829 5711 44 22 34  0
 1  0  52600   9644   1156  26660  508 1140   580  1176 3887 5158 33 21 39  8
 0  0  52212   9024   1156  26920  728    0   872     0 3264 4880 39 17 44  0
 4  0  50960   7648   1156  26984 1508    0  1508     0 3143 3231 43 17 40  0
 3  0  52788   9524   1136  26024  384 1992   388  3256 5224 3704 32 23 25 20
 0  0  52668   9524   1136  26028  516    0   516     0 2035 2377 24 14 61  0
 1  0  52668   9524   1144  26052    0    0     0    32 1620 1682 23 12 65  0
 1  0  52640   9524   1144  26068    0    0     0     0  884  823 21  7 71  0
 0  0  52608   9604   1144  26048   32    0    32     0  535  461 11  1 87  0
 0  0  52600   9668   1144  26072    0    0     0     0  445  390  8  2 90  0
 0  2  52768   8420    908  26964  252  196  4320   376  855  852 12  4 73 10
MEDIA
NR:  66 CPU:  67.7969
