procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 6  0  43256   9780    700  26548   11   16    81    38  629  764 23  9 67  1
 1  0  43256   9796    700  26608    0    0     0     0 2426 3114 22 17 61  0
 1  0  43256   9796    700  26668    0    0     0     0 2717 3646 30 22 47  0
 3  0  43252   9796    700  26748    8    0    16     0 3078 4170 28 14 58  0
 5  0  43252   9516    708  26820    0    0     0    48 2665 3673 31 23 46  0
 1  0  43252   9516    708  26904    0    0     0     0 2944 4159 38 20 42  0
 3  0  43236   9548    708  26980   32    0    32     0 2795 3905 31 20 49  0
 3  0  43224   9516    708  27056   32    0    32     0 2639 4042 35 25 40  0
 1  0  43224   9424    708  27128    0    0     0     0 2979 3855 30 20 50  0
 0  0  43224   9392    716  27196   32    0    32    12 2708 3871 34 23 44  0
 4  0  43224   9268    716  27280    0    0     0     0 2995 3893 33 23 44  0
 1  0  43224   9204    716  27356    0    0     0     0 2790 3880 33 18 49  0
 3  0  43224   9112    716  27432    0    0     0     0 2683 3972 30 20 50  0
 0  0  43216   9020    716  27508    0    0     0     0 2976 4500 27 15 58  0
 6  0  43212   9020    724  27576   32    0    32    12 2838 4002 28 14 58  0
 3  0  43200   8896    724  27660   36    0    36     0 2896 4296 35 21 44  0
 0  0  43196   8772    724  27732    0    0     0     0 2906 4121 32 20 48  0
 1  0  43164   8648    724  27812   40    0    40     0 2968 4022 38 25 37  0
 0  0  43164   8524    724  27884    0    0     0     0 2981 4009 27 18 55  0
 4  0  43164   8524    732  27952    0    0     0    20 2918 3867 33 21 46  0
 0  0  43128   8244    732  28036   44    0    44     0 2404 3780 37 33 30  0
 5  0  43084   8152    732  28116  100    0   100     0 2762 3945 31 26 43  0
 1  0  43064   8152    732  28188    8    0     8     0 2607 3538 31 25 43  0
 5  0  43024   7872    732  28344  104    0   104     0 2974 4174 38 25 37  0
 1  0  43004   7748    740  28336    0    0     0    28 2680 3548 32 21 47  0
 0  0  42996   7656    740  28412    0    0     0  1676 2946 4197 35 26 39  0
 1  0  42980   7656    740  28492    4    0     4     0 2687 4132 33 19 48  0
 4  0  45264   9484    736  28356  196 2324   224  2324 3284 3501 32 24 43  0
 0  0  45256   9144    736  28416  256    0   256     0 2908 4811 26 17 57  0
 0  0  45236   9020    744  28548   56    0    56    36 3045 4280 30 20 50  0
 1  0  45236   8988    744  28568    0    0     0     0 2835 4111 28 22 50  0
 3  0  45236   8896    744  28648    0    0     0     0 3018 4091 30 17 53  0
 5  0  45236   8896    744  28724    0    0     0     0 2885 3783 28 17 55  0
 1  0  45236   8648    744  28796   32    0    32     0 3289 4885 23 16 61  0
 2  0  45236   8648    752  28868    0    0     0    12 2727 3921 29 20 51  0
 2  0  45236   8648    752  28948    0    0     0     0 3006 4218 32 22 46  0
 2  0  45220   8400    752  29004   96    0    96     0 2852 3868 30 20 50  0
 2  0  45200   7996    752  29180  148    0   224    16 2946 3984 34 17 49  0
 3  0  45200   8028    752  29256    0    0     0     0 3126 4376 29 15 56  0
 1  0  45196   7904    760  29324   32    0    32    48 2837 3776 25 12 63  0
 0  0  45196   7904    760  29404    0    0     0     0 2939 4279 35 22 43  0
 0  0  45188   7780    760  29484    4    0     4     0 2801 3729 31 22 48  0
 0  0  45164   7780    760  29552    8    0     8     0 3149 4326 29 17 54  0
 0  0  45136   7656    760  29628   32    0    32     0 3117 4391 22 14 65  0
 0  0  45124   7656    768  29696   32    0    32    12 2944 3943 21 13 66  0
 0  0  45116   7532    768  29772    0    0     4     0 2810 3653 27 18 56  0
 0  0  45108   7532    768  29836    0    0     0     0 2599 3314 24 10 65  0
 1  0  45096   7408    768  29884    0    0     0     0 2231 2688 19 15 65  0
 1  0  46172   8612    712  29236    0 1112     0  1112 2527 2717 30 18 51  1
 3  0  48168  10844    856  28756  176 1996   364  2044 1962 1936 26 21 51  1
 1  0  48164  10844    856  28832   64    0    64  1956 1572 1638 27 14 58  0
 2  0  48136  10844    856  28852   32    0    32     0 1218 1318 16  7 77  0
 0  0  48136  10876    856  28868    0    0     0     0  793  752 13  8 80  0
 0  0  48136  10876    856  28872    0    0     0     0  535  450  9  2 89  0
 0  0  48136  10876    864  28868    0    0     0    20  429  369 10  1 89  0
MEDIA
NR:  57 CPU:  46.8
