procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  3  63100  13296   1360  27692   29   31    90    61  783  997 27 11 61  1
 1  0  63080  13116   1364  27792  136    0   184     0 2429 4931 45 30 25  0
 2  1  64544  13744   1224  26864  124 1488   124  1856 5521 3384 47 37  7  8
 3  0  65388  15008   1224  26220  460  892   476   892 3911 2252 68 28  4  1
 3  0  65256  14076   1232  26724  484    0   920    52 3058 3590 69 28  4  0
 3  0  65252  13952   1232  26892    0    0     0     0 2504 2511 70 27  2  0
 3  0  65236  13812   1232  26968   28    0    28     0 2071 2043 64 31  6  0
 8  0  65204  13440   1364  27196   32    0   196     0 2877 2636 74 21  5  0
 4  0  65192  13316   1364  27244    0    0     0     0 2276 1982 64 31  6  0
 1  0  65188  13208   1372  27432    0    0     0    36 3019 4025 71 21  8  0
 3  0  65172  13052   1372  27656   24    0    84     0 2352 2215 66 27  8  0
 2  0  65148  12820   1384  27700    8    0    20     0 2612 2734 64 26 10  0
 6  0  65096  12556   1384  27804   76    0    76     0 2381 2611 70 25  5  0
 4  0  65688  13128   1380  27376  120  652   120   652 3537 3102 68 24  8  1
 1  0  65584  12912   1388  27768  244    0   372    32 2726 2816 70 24  6  0
 5  0  65484  12756   1388  27832  164    0   180     0 3056 3539 72 22  6  0
 2  0  65468  12588   1388  28064    4    0     4     0 2781 2898 72 24  4  0
 6  0  65436  12340   1388  28200   76    0    76     0 2857 2927 66 25  9  0
 4  0  65408  12060   1388  28404   28    0    28     0 3014 3095 71 22  7  0
 7  0  65384  11952   1396  28492   16    0    16    12 2819 3045 68 26  7  0
 5  0  65372  11720   1396  28708   36    0    36     0 2543 2588 67 27  7  0
 5  0  65316  11596   1396  28848   12    0    12     0 2834 2758 72 22  7  0
 1  0  65316  11464   1396  28972    0    0     0     0 2617 2605 67 27  6  0
 8  0  65276  11216   1396  29212   76    0    76     0 2964 3311 67 28  6  0
 1  0  65236  10968   1404  29320  104    0   104    28 2889 2957 71 24  5  0
 6  0  65148  10348   1404  29572  316    0   316     0 2958 2910 67 23 10  0
 5  0  65148  10216   1404  29768    0    0     0     0 2772 2872 68 24  8  0
 6  0  64888   9860   1404  29912  232    0   232     0 2818 2968 69 23  8  0
 4  0  64868   9612   1404  30156   28    0    28     0 2801 2964 73 22  6  0
 4  0  64860   9192   1412  30324   52    0   116    12 2500 2708 69 23  8  0
 4  1  65400   9496   1408  30004   40  548    40   548 4118 2793 68 22  6  4
 6  1  66104  11108   1376  29000   76  744   220   748 6481 2812 71 24  2  5
 5  0  66372  11448   1368  28960   56  316    56   316 3273 3014 70 25  5  1
 4  0  66296  11480   1368  29108  116    0   116     0 2657 2784 66 26  8  1
 6  0  66296  11480   1376  29272    0    0     0    28 2601 2806 69 25  6  0
 3  0  65868  11232   1376  29500  520    0   520     0 2674 2627 66 31  3  0
 2  0  65468  10920   1376  29668  148    0   148     0 2873 2555 70 25  5  0
 1  0  65384  10580   1380  29816   84    0    88  1164 2974 3007 70 23  7  0
 5  0  65360  10364   1380  30008    0    0     0     0 2821 3012 71 20  8  0
 7  0  65340  10116   1388  30108   60    0    60    28 3014 3283 68 26  6  0
 6  0  65324   9852   1388  30384   76    0   192     0 2922 2848 74 23  3  0
 6  0  65288   9604   1388  30456   48    0    48     0 2559 2744 70 26  5  1
 4  0  65232   9372   1392  30720   60    0    64  1956 2705 2854 73 23  5  0
 4  0  65144   9124   1392  30804  136    0   136     0 2817 2697 72 20  8  0
 2  0  67768  11392   1328  29876  164 2664   164  2684 3755 2976 70 23  7  0
 5  0  69712  11856   1388  29392  320 1992  1284  5736 3958 2915 65 28  7  0
 1  0  69688  11856   1388  29532   88    0    92     0 2841 2761 72 24  5  0
 3  0  69624  11888   1388  29760   36    0    36     0 2461 2435 66 23 11  0
 4  0  69588  11888   1388  29904   48    0    48     0 2865 3074 71 23  6  1
 7  0  69548  11888   1396  30124   36    0    36    72 2711 3113 72 21  8  0
 6  0  69524  11764   1396  30296   52    0    76     0 2869 3238 70 23  7  0
 6  0  69484  11516   1396  30500  124    0   124     0 2794 3056 70 26  5  0
 3  0  69468  11300   1396  30680   24    0    24     0 2974 3081 69 24  8  0
 3  0  69400  11052   1396  30868   96    0    96     0 2510 2788 71 22  7  0
 5  0  69376  10896   1404  30952   52    0    52    12 2915 3116 72 23  5  0
 3  0  69320  10556   1404  31112  100    0   100     0 2591 2619 70 24  7  0
 2  0  69424  11112   1360  30460  160  148   160   148 3088 3403 71 26  2  1
 6  0  69324  11020   1360  30676  108    0   108     0 2664 2785 66 28  6  0
 1  0  69308  10928   1360  30856   12    0    12     0 2979 3125 73 22  6  0
 7  0  69276  10804   1368  30980   44    0    44    40 2908 3140 69 24  6  1
 5  0  69232  10788   1368  31220   36    0    36     0 2921 2881 71 26  4  0
 4  0  69192  10680   1368  31368   32    0    32     0 2713 2451 70 28  3  0
 2  1  69476  10680   1304  31132   36  300    36   300 2722 2681 66 29  3  2
 6  0  69440  10556   1304  31292  140    0   140     0 2825 3135 72 23  5  0
 4  0  69564  10756   1304  31252  268  236   380   248 2911 2679 71 22  7  0
 3  0  69476  10432   1304  31468  224    0   224   212 2434 2670 67 27  6  0
 5  0  69544  11160   1100  31504  248  208   248   208 2956 2940 66 24  9  1
 6  0  69484  11036   1100  31524   84    0    84     0 2839 2877 69 27  5  0
 4  0  69372  10912   1100  31712  184    0   184     0 2854 3052 73 23  4  0
 6  0  69324  10788   1108  31936   52    0    52    24 2581 2952 72 23  6  0
 7  0  69304  10540   1108  32024   12    0    36     0 2556 2635 73 20  7  0
 3  0  69244  10308   1108  32288   40    0   132     0 2909 3200 69 26  5  0
 6  0  69144   9904   1108  32616  216    0   216     0 2554 2796 70 23  7  0
 1  0  69124   9796   1108  32704   36    0    36     0 2702 2850 73 22  5  0
 4  0  69068   9564   1116  32792  128    0   128    28 2567 2751 65 27  8  0
 1  1  69748  12748    896  30416  276  780   276   784 6455 3123 67 25  4  4
 6  0  70072  13864    872  29512   68  368    68   368 4000 2934 71 24  5  1
 5  0  70000  14584    872  29644  128    0   128     0 3014 6914 44 25 31  0
 3  0  70000  15024    872  29840   20    0    20     0 3015 6628 41 27 33  0
 3  0  69920  15828    880  29888  236    0   236    16 3234 7315 44 22 34  0
 2  0  69908  15612    880  30144   16    0    16  2008 2999 6177 41 20 39  0
 0  0  69852  15588    880  30248  104    0   104     0 2953 6041 39 22 40  0
 0  0  69800  15464    880  30288   68    0    68     0 2495 5039 37 20 43  0
 5  0  69768  15312    880  30460   92    0    92     0 3030 4924 34 23 44  0
 0  0  69700  15032    944  30532   96    0   148    44 3189 5297 36 17 47  0
